category,method,runtime_s,n_test,auroc_img,auroc_pix_e2e,auroc_pix_cond,flag_rate,n_flagged,n_masked,anomaly_pass_rate,normal_pass_rate
bottle,hybrid,33.03436207771301,83,0.9904761904761904,0.9715503067976653,0.9826921593018557,0.7349397590361446,61,63,0.9523809523809523,0.05
cable,hybrid,35.8741090297699,150,0.5892053973013494,0.691730395607254,0.9227407565936684,0.32,48,92,0.358695652173913,0.25862068965517243
capsule,hybrid,27.563454389572144,132,0.6785001994415636,0.5840716137315201,0.9580559228463078,0.24242424242424243,32,109,0.24770642201834864,0.21739130434782608
carpet,hybrid,53.600821018218994,117,0.9731139646869983,0.9805169666245553,0.9825214604592835,0.8461538461538461,99,89,0.9775280898876404,0.42857142857142855
grid,hybrid,24.922568559646606,78,0.7209690893901419,0.5934510889646383,0.9926138097555206,0.5256410256410257,41,57,0.631578947368421,0.23809523809523808
hazelnut,hybrid,32.57445740699768,110,0.8617857142857143,0.7900289637686492,0.9920276615334384,0.43636363636363634,48,70,0.6142857142857143,0.125
leather,hybrid,54.40395784378052,124,0.9949048913043478,0.9843365949729397,0.9843365949729397,0.7903225806451613,98,92,1.0,0.1875
metal_nut,hybrid,27.618896007537842,115,0.7702834799608993,0.8898545732901006,0.9425435656639739,0.3826086956521739,44,93,0.45161290322580644,0.09090909090909091
pill,hybrid,37.49147629737854,167,0.7291325695581015,0.8106569859834467,0.8607711020256499,0.3592814371257485,60,141,0.41843971631205673,0.038461538461538464
screw,hybrid,22.94651222229004,160,0.5372002459520393,0.5407418213648125,0.9616371924392504,0.1875,30,119,0.20168067226890757,0.14634146341463414
tile,hybrid,49.77128744125366,117,0.9898989898989898,0.9363535909536239,0.9384804076465,0.7692307692307693,90,84,0.9880952380952381,0.21212121212121213
toothbrush,hybrid,15.984576225280762,42,0.8666666666666666,0.8163267842454667,0.9818461347721047,0.3333333333333333,14,30,0.43333333333333335,0.08333333333333333
transistor,hybrid,27.571020126342773,100,0.7925,0.8615116093762567,0.8236185049277357,0.34,34,40,0.65,0.13333333333333333
wood,hybrid,37.678242921829224,79,0.9982456140350878,0.9051632885986193,0.9051632885986193,0.7721518987341772,61,60,1.0,0.05263157894736842
zipper,hybrid,43.18826770782471,151,0.8944327731092436,0.7532058469308187,0.9238806570288861,0.5298013245033113,80,119,0.6554621848739496,0.0625
