category,method,runtime_s,n_test,auroc_img,auroc_pix_e2e,n_masked
bottle,dino_max,38.282347679138184,83,1.0,0.983224793531115,63
cable,dino_max,76.21971821784973,150,0.9419040479760119,0.9277140245460854,92
capsule,dino_max,64.18637037277222,132,0.9433585959313922,0.9741632146924935,109
carpet,dino_max,52.8313307762146,117,0.9979935794542536,0.9827717690891338,89
grid,dino_max,36.79799294471741,78,0.9983291562238931,0.9918926216301506,57
hazelnut,dino_max,55.94428873062134,110,0.9964285714285714,0.992550451971212,70
leather,dino_max,58.9440233707428,124,1.0,0.9843365949729397,92
metal_nut,dino_max,52.1801643371582,115,0.9965786901270772,0.9610840247009795,93
pill,dino_max,76.18641924858093,167,0.9716312056737588,0.8928610100100525,141
screw,dino_max,73.24539470672607,160,0.8575527772084444,0.9512719075879584,119
tile,dino_max,54.73534536361694,117,0.996031746031746,0.939210435214603,84
toothbrush,dino_max,21.681978940963745,42,0.9861111111111112,0.9874068243729678,30
transistor,dino_max,46.785168170928955,100,0.97875,0.8517001588294911,40
wood,dino_max,35.3543803691864,79,0.9903508771929824,0.9051632885986193,60
zipper,dino_max,62.95765161514282,151,0.9963235294117647,0.9310720989574277,119
